neg,neu,pos,compound,title,label,timestamp
0,0.294,0.706,0.34,Bear Gains,1,2022-10-13
0,0.87,0.13,0.34,"Sleep Tight Bros: ""Since 1993, all of the S&P 500's gains have occurred outside regular trading hours""",1,2022-10-13
0,0.728,0.272,0.6249,"Felt great a couple of hours ago, then got slapped with reality again..",1,2022-10-13
0,1,0,0,The 45 Year Old Pivooter,0,2022-10-13
0,0.823,0.177,0.4215,Spy puts 🤦🏾‍♂️ … I have until the end of the month for a rug pull lol,1,2022-10-13
0,1,0,0,Kang month so far 🦘,0,2022-10-13
0,1,0,0,Consider buying stock or calls in Yellow Corporation (YELL) before the 3rd Quarter earnings release,0,2022-10-13
0,0.844,0.156,0.34,If you randomly received a little over 12k what would be your play right now?,1,2022-10-13
0.718,0.091,0.191,-0.7003,Yolo gone wrong. Cut losses ?,-1,2022-10-13
0,1,0,0,$SPY calls printing for me,0,2022-10-13
0,1,0,0,It’s been a roller coaster ride 🎢,0,2022-10-13
0.071,0.832,0.097,0.2168,3rd largest individual shareholder of $TSLA loses faith? He just suggested 15 billion buyback. Puts before earnings? He retweeted some very bearish tweet I sent him directly at 6:30AM 10/15,1,2022-10-13
0.555,0.445,0,-0.3595,Ain’t no lie!,-1,2022-10-13
0.154,0.846,0,-0.2057,Wait... so gravity isn't the renewable energy source of the future?,-1,2022-10-13
0,1,0,0,How not to invest. -$12k >> Includes Positions,0,2022-10-13
0,1,0,0,Short 💰,0,2022-10-13
0,0.571,0.429,0.9413,"Spy Puts for the win with CPI. Thanks bulls, small win but win non the less. Got back in with profits at peak bounce today. 🙏🏻",1,2022-10-13
0,0.566,0.434,0.3182,Can someone please explain?,1,2022-10-13
0,1,0,0,Jim wants you to buy his mezcal,0,2022-10-13
0,1,0,0,Comparing ARKK to the NASDAQ from 2000 – 2002,0,2022-10-13
0,1,0,0,$SPY ELLIOT WAVE .. ⬆️,0,2022-10-13
0.146,0.68,0.174,0.2187,"Game Over for me, I'm done with it all. Not going to pay loans off for the next 15 years, tried to save myself today but didn't work. Just so you know kind words when someone's on fire doesn't help, so don't bother. GL to you all! Logging out after this post.",1,2022-10-13
0,1,0,0,Earning Release,0,2022-10-13
0,0.424,0.576,0.7783,Powell should get the Nobel Peace Prize,1,2022-10-13
0.487,0.513,0,-0.5848,The weekend is the enemy!,-1,2022-10-13
0,1,0,0,IM BACK,0,2022-10-13
0,1,0,0,TQQQ seeking bottom,0,2022-10-13
0,1,0,0,tqqq straddles?,0,2022-10-13
0.346,0.192,0.462,0.1531,tesla risky gains,0,2022-10-13
0,1,0,0,Car dealers are the next to fall,0,2022-10-13
0,1,0,0,memes 🤣💔,0,2022-10-13
0,0.514,0.486,0.4278,BBBY 2024 BONDS YOLO,1,2022-10-13
0.441,0.559,0,-0.743,You poor fools can't see the forest for the trees...,-1,2022-10-13
0.122,0.696,0.183,0.34,Which market index do you feel is best for buying puts on to capitalize on this 2022 Recession?,1,2022-10-13
0,0.261,0.739,0.6874,Update: YOLO on YOLO,1,2022-10-13
0,1,0,0,DD and a target to 💎🙌🎃,0,2022-10-13
0.213,0.787,0,-0.2263,Alaska Cancels Snow Crab Season Amid Population Decline,-1,2022-10-13
0,1,0,0,TSLA is a ponzi scheme?,0,2022-10-13
0.075,0.827,0.098,0.1708,Not Even bad CPI can stem the tide of Ultraviolence against my puts.I just wanted to break even before my birthday. it's just not fucking fair.,0,2022-10-13
0,0.839,0.161,0.3612,"If your “financial advisor” dresses like this, you’re 100% getting robbed of your money.",1,2022-10-13
0.239,0.761,0,-0.2235,"If you can't beat them, join them.",-1,2022-10-13
0.385,0.615,0,-0.3612,The Dow Man Strikes Again,-1,2022-10-13
0.375,0.625,0,-0.34,Warning from BANK OF AMERICA,-1,2022-10-13
0,1,0,0,which one of you did I see driving to the UT game this morning?,0,2022-10-13
0,1,0,0,Tasty CPI,0,2022-10-13
0,1,0,0,Any Suggestion for long time investor?,0,2022-10-13
0.375,0.625,0,-0.5859,Anyone else get drunk at the bar and make a mistake,-1,2022-10-13
0,1,0,0,"8.5k Index Puts Update. $9,200–>$18,500 single day 🔥",0,2022-10-13
0,1,0,0,Systematic Trend Following Trading,0,2022-10-13
0,0.706,0.294,0.1695,Literally cant go tits up,0,2022-10-13
0,0.605,0.395,0.504,Why? Can you explain me? Thanks,1,2022-10-13
0,1,0,0,I discovered SPX options,0,2022-10-13
0,0.323,0.677,0.6369,Best trading platform?,1,2022-10-13
0,1,0,0,Looking for discussion- How far do you think TSLA stock could/should fall over the next year?,0,2022-10-13
0,0.545,0.455,0.3612,October Has Me Like,1,2022-10-13
0,1,0,0,ALL IN $27k FOR ELECTION RELIF RALLY!!!!!!,0,2022-10-13
0,1,0,0,Highly shorted Charlotte’s Web CEO: MLB Deal a 'Historical Moment' for CBD; coming FDA regulation unlocks big box store sales.,0,2022-10-13
0.125,0.714,0.161,0,SPY repeating 2008 again ? What I what to point out is how well the 0.168 Fib rejection has played out. 13% down so far.,0,2022-10-13
0,1,0,0,Krogers and Albertsons merger,0,2022-10-13
0,1,0,0,Anybody else have SPY Puts today? 😒,0,2022-10-13
0,1,0,0,US CPI,0,2022-10-13
0,1,0,0,So I got caught with my after hours trading still on and the company announced a split. I’ve been holding for a few days since then but now I’m thinking if I should go ahead and jump ship or ride the wave,0,2022-10-13
0,0.476,0.524,0.6705,El Pollo Loco Special Dividend Arbitrage Opportunity,1,2022-10-13
0.105,0.836,0.058,-0.3657,"My first post since I started trading stocks in 2018. You can probably tell when I began my unhealthy relationship with options trading, which has been quite the emotional roller coaster",-1,2022-10-13
0,1,0,0,Can a guy make an onlyfans page??,0,2022-10-13
0.38,0.38,0.241,-0.2732,$SPY is a straight up savage.,-1,2022-10-13
0,1,0,0,Buying OTM puts/calls 4 days from expiry,0,2022-10-13
0,1,0,0,My daily life as a Bear in a nutshell...,0,2022-10-13
0,1,0,0,Netflix will charge $6.99 a month for new ad-supported plan starting Nov. 3 in U.S.,0,2022-10-13
0.259,0.741,0,-0.2732,Gamble at your own Risk - Global Lehman,-1,2022-10-13
0,1,0,0,Typing a bunch of rocket emojis,0,2022-10-13
0.149,0.851,0,-0.2732,"Using Junk Bonds as Indicator of Overall Market Risk (to Equities, Cry-pto, etc.)",-1,2022-10-13
0,0.735,0.265,0.2023,Apparently I’m a top quartile hedge fund,1,2022-10-13
0,1,0,0,Updates on Casino Stocks Wynn and Las Vegas Sands,0,2022-10-13
0,0.534,0.466,0.5399,its beena good day boys!!,1,2022-10-13
0,1,0,0,We will need a bigger hammer 📉,0,2022-10-13
0,1,0,0,Can the FED doing “Dollar Swaps” now have the same effect as the FED doing bond purchases prior ?,0,2022-10-13
0,1,0,0,All part of the plan. Really.,0,2022-10-13
0,1,0,0,"""Why does this keep happening"", says the world repeating history once again",0,2022-10-13
0.196,0.804,0,-0.296,"No, market did 180 today just to troll this clown 🤡",-1,2022-10-13
0,1,0,0,Jamie Dimon says expect ‘other surprises’ from choppy markets after U.K. pensions nearly imploded,0,2022-10-13
0,1,0,0,Regard goes from 2k to 68k in 2 weeks,0,2022-10-13
0,1,0,0,100% money making strategy.,0,2022-10-13
0.872,0.128,0,-0.7783,I'm a dumb ass.,-1,2022-10-13
0,0.764,0.236,0.5719,CPI prediction came in about as close to perfect as i could have hoped...,1,2022-10-13
0,1,0,0,Kroger to Buy Albertsons,0,2022-10-13
0.073,0.781,0.146,0.34,"Do you guys realized how hard Chamath, TikTokers, and any other person that promoted SPAC’s fleeced y’all?",1,2022-10-13
0,0.814,0.186,0.4939,Friend advised me options is the only way to grow your money in a bear market,1,2022-10-13
0.211,0.789,0,-0.34,Accidentally bought calls at 7:30am when I meant to buy puts,-1,2022-10-13
0.298,0.702,0,-0.6876,Calling it now! Priced in for everything bad! Tomorrow is Green AF!!!!,-1,2022-10-13
0.205,0.795,0,-0.4767,Took this position a few minutes before market close. I think something’s wrong with me…,-1,2022-10-13
0.302,0.698,0,-0.6523,BAN BET: INFLATION REPORT ON SEPTEMBER 13 WILL CAUSE MARKET SELLOFF,-1,2022-10-13
0,0.598,0.402,0.5719,"Fed watch • Credit creation, cause & effect • October 12th 2022",1,2022-10-13
0,0.659,0.341,0.4767,It’s not much but first 1000% play,1,2022-10-13
0,1,0,0,"Yield, yield baby 🕺",0,2022-10-13
0,0.706,0.294,0.3612,Whose got their puts ready for tomorrow?,1,2022-10-13
0.12,0.356,0.524,0.8427,"You win some and lose some.. Well, it’s not a loss until I sell lmao",1,2022-10-13
0.255,0.584,0.161,-0.3182,Guess I can tell that call alert to fuck right off,-1,2022-10-13
0,0.667,0.333,0.3612,What it's like trading 0dte SPX,1,2022-10-13
0.211,0.556,0.233,0.1027,"Hey, assholes. What’s the best way to give hedgies all my money?",0,2022-10-13
0,1,0,0,"With Kwarteng gone, what needs to happen for Liz Truss to go?",0,2022-10-13
0,1,0,0,-19k on Googl weeklies fug,0,2022-10-13
0,1,0,0,Don’t gamble kids!,0,2022-10-13
0,0.545,0.455,0.3612,I like butt stuff too,1,2022-10-13
0,0.87,0.13,0.2023,US Treasury asks major banks if it should buy back U.S. government bonds,1,2022-10-13
0.419,0.581,0,-0.5574,Can we ban this regard already?,-1,2022-10-13
0,1,0,0,None of us regards actually know. Source: Today,0,2022-10-13
0.039,0.687,0.274,0.862,Tesla chart - MMsHedge system. Hindsight is like a gift from the gods so not pretending like Tesla was being tracked real time. How the MMsHedge system calls it in retrospect. Entry points look good??,1,2022-10-13
0.197,0.472,0.331,0.4019,Is US debt the best return on investment?,1,2022-10-13
0,0.744,0.256,0.3412,"Don't worry boys, he's got it under control",1,2022-10-13
0,1,0,0,finally the market makes sense again...,0,2022-10-13
0,1,0,0,Can Liz Truss outlast this lettuce?,0,2022-10-13
0.574,0.426,0,-0.4019,PayPal rather stubborn,-1,2022-10-13
0.246,0.754,0,-0.4466,The market bottoms when NO ONE wants to own stocks.,-1,2022-10-13
0,1,0,0,yes...,0,2022-10-13
0.385,0.615,0,-0.3612,31 Trillion in US Debt 😐,-1,2022-10-13
0,1,0,0,Brain Cells Gone,0,2022-10-13
0.085,0.691,0.223,0.5255,Picture of a Man on the Verge of a Nervous Breakdown..If you see a Man Looking Like this Call 911 for some Help!,1,2022-10-13
0.243,0.473,0.284,0.1531,I love watching the market shit 400 points in a minute,0,2022-10-13
0,1,0,0,Bond yields today,0,2022-10-13
0,0.631,0.369,0.327,"Treasury Liquidity, the next issue???",1,2022-10-13
0,0,1,0.34,Ha,1,2022-10-13
0,1,0,0,The Fed has raised rates 3% in a row. Yet the CPI was just released at 8.2% and instantly NDX futures fell 2%. How much do you guys think the Fed will raise rates in the next one?,0,2022-10-13
0,1,0,0,"Babe it'll be different this time, I've changed",0,2022-10-13
0.157,0.843,0,-0.3818,The FED will pivot before the election. Congress has responsibilities in the inflation fight too.,-1,2022-10-13
0.192,0.711,0.096,-0.3182,Admitting a mistake doesn't mean the stock will go up: Mark Zuckerberg says he missed a huge shift in the social network,-1,2022-10-13
0,1,0,0,you kno that feel,0,2022-10-13
0.242,0.758,0,-0.1531,There is no way but UP.,0,2022-10-13
0.092,0.638,0.271,0.3058,Thanks Daddy Powell and Uncle Biden. TD sorry but I can't pay.,1,2022-10-13
0,0.508,0.492,0.4404,The good ole days.,1,2022-10-13
0,1,0,0,When majority of the regards here go short you go long,0,2022-10-13
0,0.726,0.274,0.5267,🌈 🐻 200% gain on Spy Calls after selling puts at open.,1,2022-10-13
0,1,0,0,Trying to trade in this market,0,2022-10-13
0,1,0,0,Cathy Woods Open Letter to the FED,0,2022-10-13
0,1,0,0,holding Put options after CPI,0,2022-10-13
0.767,0.233,0,-0.765,pain. so much pain.,-1,2022-10-13
0,1,0,0,Highest rank yet...,0,2022-10-13
0,0.855,0.145,0.2168,Bank earnings tomorrow how is everyone feeling about this ? Puts or calls ?,1,2022-10-13
0,0.69,0.31,0.5574,Data shows AMC insiders got rich off retail traders,1,2022-10-13
0,1,0,0,rate my pewdiepie fanart guys,0,2022-10-13
0,1,0,0,Technical analysis,0,2022-10-13
0,1,0,0,How to fix the economy: Nuke the site from orbit.,0,2022-10-13
0,1,0,0,"What Are Your Moves Tomorrow, October 13, 2022",0,2022-10-13
0.231,0.769,0,-0.2732,All in 40k - do a risk split they said,-1,2022-10-13
0.23,0.4,0.37,0.34,Celebrate my first big loss 🎉🎉,1,2022-10-13
0,0.741,0.259,0.2732,Shout out to the yolo calls today,1,2022-10-13
0,0.737,0.263,0.3612,"Y'all ready for the notion of ""el penetrationê""?",1,2022-10-13
0,1,0,0,The only hedge you need,0,2022-10-13
0.365,0.635,0,-0.3182,New Definition of a Bull Trap,-1,2022-10-13
0.174,0.826,0,-0.7096,kimmy griffin desperate trying anything. He knows retail controls the market. I think from what he said in article she and her cronies are going to deliberately bankrupt companies very soon,-1,2022-10-13
0,1,0,0,Who caught the bottom on SPY?,0,2022-10-13
0,0.628,0.372,0.7964,"ordered spy put at 535 noontime Thursday with a 100% gain automatic close, I'm happy",1,2022-10-13
0,0.58,0.42,0.4404,There may be hope yet.,1,2022-10-13
0.394,0.606,0,-0.3818,Losing? Don't do that anymore,-1,2022-10-13
0,1,0,0,Anyone putting a bets on Ford ($F)?,0,2022-10-13
0.535,0.465,0,-0.3182,CGC Loss Porn,-1,2022-10-13
0,0.701,0.299,0.826,Good Morning My Beautiful 🌈🐻s! Here’s your daily dose of options data for 13 October 2022! CPI is at 8.2%!,1,2022-10-13
0,1,0,0,Which 3Q earnings will shift the markets the most?,0,2022-10-13
0.155,0.711,0.134,0.128,CRABs 🦀 lend a hand combatting inflation by cancelling CRAB season. JPOW suspected as officials investigate disappearance of an estimated 1 billion crabs,0,2022-10-13
0,0.476,0.524,0.5106,Some SPY fun today,1,2022-10-13
0,1,0,0,OG,0,2022-10-13
0,1,0,0,Any productive start-ups you expect will IPO?,0,2022-10-13
0.324,0.676,0,-0.34,Been A Crazy Ride Since Jackson Hole,-1,2022-10-13
0,1,0,0,Interesting...,0,2022-10-13
0.467,0.533,0,-0.5423,Anyone else have a bad day?,-1,2022-10-13
0,1,0,0,MSFT will outperform by a big margin in the gaming industry in the next 10-20 years,0,2022-10-13
0,1,0,0,Bollinger band 🚨🥰🥰,0,2022-10-13
0,1,0,0,Short Netflix,0,2022-10-13
0.362,0.638,0,-0.5267,Powell opens probe into Bostic’s trade violations.,-1,2022-10-13
0.319,0.459,0.222,-0.3094,better than 99%? wtf are you regtards doing?,-1,2022-10-13
0,0.597,0.403,0.4019,Is this title interesting enough,1,2022-10-13
0.293,0.707,0,-0.4404,The Motley Fool writers are just WSB degenerates,-1,2022-10-13
0,1,0,0,NKLA? Buy some puts? I figure it will go down next week.,0,2022-10-13
0,1,0,0,BuT tHe FeD hAs To PiVot..... 100 BP here we come,0,2022-10-13
0,0.674,0.326,0.4404,S&P 500 vs. Real Profits (cumulative change),1,2022-10-13
0,1,0,0,Me,0,2022-10-13
0,1,0,0,When those miscellaneous alerts from May 2020 go off start going off when you haven’t used the platform in 2 years.,0,2022-10-13
0,1,0,0,nflx sub 200 after er on 10/18 and here's why,0,2022-10-13
0,1,0,0,"META after October, META go back to 100 after Nov 2nd",0,2022-10-13
0.216,0.64,0.144,-0.2263,The long-term case of why PayPal is in significant trouble,-1,2022-10-13
0,0.811,0.189,0.2732,Oh my god I was right again… (swipe to see DD),1,2022-10-13
0,1,0,0,Bag holders,0,2022-10-13
0,1,0,0,Every time...,0,2022-10-13
0,1,0,0,Do we go down???,0,2022-10-13
0,1,0,0,Bear Market,0,2022-10-13
0,1,0,0,Cramer porno just dropped,0,2022-10-13
0.359,0.641,0,-0.4215,The Useless sanctions are back again...,-1,2022-10-13
0,1,0,0,Which one of you this be?,0,2022-10-13
0,1,0,0,China's ENTIRE semiconductor industry came to a screeching halt yesterday and it's won't be starting back up anytime soon because it CAN'T.,0,2022-10-13
0,1,0,0,We are at this point in the cycle:,0,2022-10-13
0,0.847,0.153,0.4404,I have asked my interns to just make up 1 reason of why CPI was good news for investors,1,2022-10-13
0,1,0,0,The Next Big Short (TSLA) -- Price target $40,0,2022-10-13
0,1,0,0,CSX earnings next Thursday. Thoughts?,0,2022-10-13
0,1,0,0,The market has only seen two days in the green following a CPI report. Godspeed everyone.,0,2022-10-13
0.524,0.476,0,-0.296,I should stop gambling,-1,2022-10-13
0,1,0,0,Phew! Thought I was a goner for a second!,0,2022-10-13
0,1,0,0,"I just saw this on IG, these are dividends paid by largest US stocks.",0,2022-10-13
0,1,0,0,Inflation has peaked in June 2022 because slope of the curve has started decreasing. ( 4 data pts construction ),0,2022-10-13
0,1,0,0,Just in case y’all were wondering if there’s still bag holders,0,2022-10-13
0,1,0,0,2021-2022,0,2022-10-13
0,1,0,0,When To Fade This Rally And How,0,2022-10-13
0,1,0,0,"Weekend Discussion Thread for the Weekend of October 15, 2022",0,2022-10-13
0,1,0,0,Generational Market Move,0,2022-10-13
0,1,0,0,RIP in piece. Getting “52-week low” notifications every 3 seconds,0,2022-10-13
0.109,0.755,0.137,0.1697,Why Did Corporations All The Sudden Become So Greedy? And Why Is Stock Market Down 20% If There's Record Profits?,0,2022-10-13
0,0.588,0.412,0.6369,whats the best stock app out there..?,1,2022-10-13
0.193,0.807,0,-0.4767,CPI is fake news update closed at open bought 50k oct 21 350 puts,-1,2022-10-13
0,1,0,0,"with this CPI, we can make more with the puts",0,2022-10-13
0,0.762,0.238,0.3612,what trading OPTIONS for the first time feels like,1,2022-10-13
0,1,0,0,Buy The Dip,0,2022-10-13
0,0.915,0.085,0.4199,Vix dropped sharply after +4% cpi announcement! In normal circumstances vix should be flying through the roof after a news like that. I’m thinking it’s sign of a reversal. What are your thoughts?,1,2022-10-13
0,1,0,0,calls at the bottom yesterday + puts this AM,0,2022-10-13
0,0.543,0.457,0.6369,Elon doing what Elon does best,1,2022-10-13
0,1,0,0,started with $500 yesterday... WMT puts and now swinging WMT calls,0,2022-10-13
0,1,0,0,Nikola Completes Acquisition of Romeo Power,0,2022-10-13
0,1,0,0,Corrected 2008 vs 2022 SPX Chart,0,2022-10-13
0,0.684,0.316,0.5719,How apes come up with all their excellent DD,1,2022-10-13
0,0.794,0.206,0.431,Weekly log... not bad for being on vacation 3 out of the 5 days,1,2022-10-13
0,1,0,0,Do literally anything that makes sense! Market…,0,2022-10-13
0,0.784,0.216,0.5106,"My ""Bear market Rally"" Recipe 2 : Strong Bullish Divergence on the daily $SPX chart.",1,2022-10-13
0,1,0,0,"Daily Discussion Thread for October 14, 2022",0,2022-10-13
0.173,0.779,0.048,-0.5994,"Which one of you silly whores paused the market all day, went out for drinks and forgot to unpause it?",-1,2022-10-13
0,1,0,0,First thing I see when I walk into work.,0,2022-10-13
0.615,0.385,0,-0.4939,Elon the menace,-1,2022-10-13
0,0.545,0.455,0.3612,Looking like Ronald McDonald 🤡,1,2022-10-13
0,1,0,0,Meme stocks,0,2022-10-13
0.272,0.597,0.132,-0.7783,"Raise your hand if you've ever been banned from Facebook for soməthing dumb. Now, keep your hand up if you're spending money to participate on a platform that will probably ban you for soməthing dumb again.",-1,2022-10-13
0,1,0,0,"""I HODL, THEREFORE I AM. 💎""",0,2022-10-13
0,1,0,0,a lil intraday switcheroo,0,2022-10-13
0,1,0,0,So about that CPI report...,0,2022-10-13
0,1,0,0,Puts on Google,0,2022-10-13
0,1,0,0,Stonks. Only. Go. Up. (part II),0,2022-10-13
0.138,0.862,0,-0.485,"Sorry to put you on blast Swift_42690, but your post wasn't that popular and ppl need to see your reasoning for buying puts this morning (positions next page).",-1,2022-10-13
0.167,0.833,0,-0.4215,NASDAQ every time we broke the MA200 in the past. Will be this time different ?,-1,2022-10-13
0.241,0.759,0,-0.5859,"Founder of Nikola Is Convicted of Fraud. Ladies and Gentleman, we got him",-1,2022-10-13
0,1,0,0,iT wAs A TRenDinG dAy,0,2022-10-13
0.347,0.139,0.514,0.296,Ignorance is bliss,1,2022-10-13
0,1,0,0,So how long is this QE gonna last?,0,2022-10-13
0,1,0,0,Amouranth's husband is one of us!!!,0,2022-10-13
0,1,0,0,Paper hands,0,2022-10-13
0,1,0,0,Cathie Wood….?,0,2022-10-13
0,1,0,0,For those of you who don't believe in the inverse Cramer ETF,0,2022-10-13
0,0.282,0.718,0.6249,A good prospect of a ticker,1,2022-10-13
0,1,0,0,Maybe we should listen to our wives...,0,2022-10-13
0,1,0,0,CPI Printed me money,0,2022-10-13
0.623,0.377,0,-0.5106,Am I being dumb?,-1,2022-10-13
0.503,0.497,0,-0.4648,Double standards. SMH Feds,-1,2022-10-13
0.538,0.462,0,-0.5423,"Horrible week, til today.",-1,2022-10-13
0,1,0,0,Gameplan for when China invades Taiwan,0,2022-10-13
0.357,0.643,0,-0.4173,Is every government really that clueless?,-1,2022-10-13
0,1,0,0,IT'A A .... (fill in the blank),0,2022-10-13
0,0.775,0.225,0.5386,349.00 and 364.80 in less than a day 😂😂😂 What a time to be alive!!!,1,2022-10-13
0,0.317,0.683,0.8233,"Nothing big or crazy, but I like profits",1,2022-10-13
0,1,0,0,Robinhood allows cats to trade according to their rules,0,2022-10-13
0.701,0.299,0,-0.6908,Fu ked me,-1,2022-10-13
0,1,0,0,"So, anyone shorting Extreme Networks?",0,2022-10-13
0,0.667,0.333,0.3612,Why is my brain like this,1,2022-10-13
0.162,0.631,0.207,0.1027,Good thing my trading this month is better than my prediction. 10/10 wrong but crazy right predictions on tesla puts and spy/qqq puts as well.,0,2022-10-13
0,1,0,0,Shorting real estate listing platforms due to downturn - any views?,0,2022-10-13
0.465,0.342,0.194,-0.6081,Market Crash and Food Crisis YOLO Update 10/24,-1,2022-10-13
0,0.845,0.155,0.0258,Day 1 of posting memes till I reach PDT,0,2022-10-13
0,1,0,0,redpill me on the market,0,2022-10-13
0,1,0,0,Ain't happening dude...,0,2022-10-13
0.767,0.233,0,-0.765,NO STFU YOU DEVIL,-1,2022-10-13
0,1,0,0,Still in the descending channel imo,0,2022-10-13
0,1,0,0,"What Are Your Moves Tomorrow, October 14, 2022",0,2022-10-13
0.068,0.932,0,-0.2433,I found the reason why we bounced so fucking hard. Robinhood was telling us all along.. 🤦‍♂️ ATH confirmed on the five year chart.. it was so obvious noobs.,-1,2022-10-13
0.067,0.729,0.204,0.8605,"So I uh..made a podcast ep. on Cathie Wood, investing savant and Bill Hwang's idol. I also spoke about Ark Invest, performing worse than the dot-com bubble decline and her plead to the Fed to stop raising interest rates. It's only 11 minutes long, but super interesting listen!",1,2022-10-13
0,1,0,0,What a ride it’s been,0,2022-10-13
0,1,0,0,Can’t trade options,0,2022-10-13
0.16,0.646,0.194,0.0772,"Taking advantage of head fake rally yesterday to open fresh puts and close them, made 1,200 with 6,000 key is safely, we are in a 🐻 market, every rally is a head fake",0,2022-10-13
0,0.75,0.25,0.4588,SI interest very high going into catalyst 10/17/22 - Fisker $FSR,1,2022-10-13
0,0.317,0.683,0.5106,Thank you for playing,1,2022-10-13
0,0.783,0.217,0.1695,Never forget the legend amid CPI heat,0,2022-10-13
0,0.556,0.444,0.34,Albertsons play (free money?),1,2022-10-13
0,1,0,0,"If tomorrow is green.. I’m doubling down again… if Monday is green im going all in, this some bs 🌈 🐻 ❗️",0,2022-10-13
0,1,0,0,Just your regular WSBer. Up 60k from august 26th and withdrew a bunch. Bought these today and I’m thinking of swinging till next week. Thoughts ?,0,2022-10-13
0,0.707,0.293,0.4404,2022-10-14 Better Tasting Crayons (Mathematically derived options plays),1,2022-10-13
0,1,0,0,CPI hotter than expected at 8.2% vs forecasted 8.1%,0,2022-10-13
0,0.79,0.21,0.6114,He won. Time to graduate to stonks! Roll that 250 large into some puts and calls.,1,2022-10-13
0,1,0,0,not my wife's boyfriend,0,2022-10-13
0,1,0,0,Anybody writing options??,0,2022-10-13
0,1,0,0,Maybe I should find a new hobby,0,2022-10-13
0,1,0,0,Can I pull out?,0,2022-10-13
0,1,0,0,2022 in a nutshell,0,2022-10-13
0,1,0,0,All BBBY bag holders deserve one of these,0,2022-10-13
0,1,0,0,Only .01% of us can speak of this,0,2022-10-13
